"utc_release_date_time","release_location","station_group","release_latitude","release_longitude","capture_method","transmitter","animal_id_pk","scientific_name","length","length_type","length_units","weight","weight_units","end_date_tag","recapture_date"
"2018-09-27 14:00:00","Boudewijnkanaal","Zeebrugge_inner",51.308473,3.203367,"line fishing","A69-9006-3668",3508,"Dicentrarchus labrax",48,"total length","cm",NA,NA,"2019-09-16 14:00:00",NA
"2018-09-27 14:00:00","Boudewijnkanaal","Zeebrugge_inner",51.308473,3.203367,"line fishing","A69-9006-3669",3508,"Dicentrarchus labrax",48,"total length","cm",NA,NA,"2019-09-16 14:00:00",NA
"2018-10-06 13:00:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3642",3511,"Dicentrarchus labrax",44,"Total length","cm",891,"g","2019-09-25 13:00:00",NA
"2018-10-06 13:00:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3643",3511,"Dicentrarchus labrax",44,"Total length","cm",891,"g","2019-09-25 13:00:00",NA
"2019-06-06 10:00:00","Herdersbrug","Zeebrugge_inner",51.270442,3.212727,"handline","A69-9006-987",4674,"Dicentrarchus labrax",48,"total length","cm",1080,"g","2019-12-19 10:00:00",NA
"2019-06-06 10:00:00","Herdersbrug","Zeebrugge_inner",51.270442,3.212727,"handline","A69-9006-988",4674,"Dicentrarchus labrax",48,"total length","cm",1080,"g","2019-12-19 10:00:00",NA
"2019-06-06 10:00:00","Lissewege","Zeebrugge_inner",51.292572,3.207035,"handline","A69-9006-941",4675,"Dicentrarchus labrax",43,"total length","cm",850,"g","2020-10-08 10:00:00",NA
"2019-06-06 10:00:00","Lissewege","Zeebrugge_inner",51.292572,3.207035,"handline","A69-9006-942",4675,"Dicentrarchus labrax",43,"total length","cm",850,"g","2020-10-08 10:00:00",NA
"2019-06-06 11:30:00","Herdersbrug","Zeebrugge_inner",51.308725,3.203173,"handline","A69-9006-931",4677,"Dicentrarchus labrax",57,"total length","cm",2100,"g","2020-10-08 11:30:00",NA
"2019-06-06 11:30:00","Herdersbrug","Zeebrugge_inner",51.308725,3.203173,"handline","A69-9006-932",4677,"Dicentrarchus labrax",57,"total length","cm",2100,"g","2020-10-08 11:30:00",NA
"2019-06-06 12:30:00","Herdersbrug","Zeebrugge_inner",51.308725,3.203173,"handline","A69-9006-945",4679,"Dicentrarchus labrax",47,"total length","cm",1060,"g","2020-10-08 12:30:00",NA
"2019-06-06 12:30:00","Herdersbrug","Zeebrugge_inner",51.308725,3.203173,"handline","A69-9006-946",4679,"Dicentrarchus labrax",47,"total length","cm",1060,"g","2020-10-08 12:30:00",NA
"2019-06-06 12:00:00","Herdersbrug","Zeebrugge_inner",51.308725,3.203173,"handline","A69-9006-921",4678,"Dicentrarchus labrax",63,"total length","cm",2468,"g","2020-10-08 12:00:00",NA
"2019-06-06 12:00:00","Herdersbrug","Zeebrugge_inner",51.308725,3.203173,"handline","A69-9006-922",4678,"Dicentrarchus labrax",63,"total length","cm",2468,"g","2020-10-08 12:00:00",NA
"2019-06-06 11:00:00","Herdersbrug","Zeebrugge_inner",51.292572,3.207035,"handline","A69-9006-929",4676,"Dicentrarchus labrax",43,"total length","cm",845,"g","2020-10-08 11:00:00",NA
"2019-06-06 11:00:00","Herdersbrug","Zeebrugge_inner",51.292572,3.207035,"handline","A69-9006-930",4676,"Dicentrarchus labrax",43,"total length","cm",845,"g","2020-10-08 11:00:00",NA
"2019-08-03 04:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3750",5203,"Dicentrarchus labrax",53,"Total length","cm",1800,"g","2020-07-07 04:30:00",NA
"2019-08-03 04:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3751",5203,"Dicentrarchus labrax",53,"Total length","cm",1800,"g","2020-07-07 04:30:00",NA
"2019-08-03 04:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3746",5204,"Dicentrarchus labrax",74,"Total length","cm",4400,"g","2020-07-07 04:30:00",NA
"2019-08-03 04:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3747",5204,"Dicentrarchus labrax",74,"Total length","cm",4400,"g","2020-07-07 04:30:00",NA
"2019-08-03 06:00:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-923",5205,"Dicentrarchus labrax",41,"Total length","cm",960,"g","2020-12-05 04:30:00",NA
"2019-08-03 06:00:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-924",5205,"Dicentrarchus labrax",41,"Total length","cm",960,"g","2020-12-05 04:30:00",NA
"2019-08-21 06:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-933",5207,"Dicentrarchus labrax",40,"Total length","cm",610,"g","2020-12-23 06:30:00",NA
"2019-08-21 06:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-934",5207,"Dicentrarchus labrax",40,"Total length","cm",610,"g","2020-12-23 06:30:00",NA
"2019-08-21 06:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3736",5208,"Dicentrarchus labrax",49.5,"Total length","cm",1550,"g","2020-07-25 06:30:00",NA
"2019-08-21 06:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3737",5208,"Dicentrarchus labrax",49.5,"Total length","cm",1550,"g","2020-07-25 06:30:00",NA
"2019-08-21 06:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3740",5209,"Dicentrarchus labrax",42,"Total length","cm",985,"g","2020-07-25 06:30:00",NA
"2019-08-21 06:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3741",5209,"Dicentrarchus labrax",42,"Total length","cm",985,"g","2020-07-25 06:30:00",NA
"2019-08-21 07:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3734",5210,"Dicentrarchus labrax",47,"Total length","cm",1280,"g","2020-07-25 07:30:00",NA
"2019-08-21 07:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3735",5210,"Dicentrarchus labrax",47,"Total length","cm",1280,"g","2020-07-25 07:30:00",NA
"2019-08-21 07:30:00","Zeebrugge westerdam","Zeebrugge_out",51.36212,3.186953,"line fishing","A69-9006-3742",5211,"Dicentrarchus labrax",44,"Total length","cm",1180,"g","2020-07-25 07:30:00",NA
