FID,field_1,receiver,projectnam,station_na,deploy_lat,deploy_lon,the_geom
lfreceivers.1,71,VR2W-124067,Albertkanaal,ak-10,50.654402,5.622823,POINT (50.654402 5.622823)
lfreceivers.2,20,VR2W-122366,Albertkanaal,ak-11,50.65697,5.626992,POINT (50.65697 5.626992)
lfreceivers.3,69,VR2W-122157,Albertkanaal,ak-14,50.714109,5.672638,POINT (50.714109 5.672638)
lfreceivers.4,85,VR2W-124077,Albertkanaal,ak-17,50.807726,5.674801,POINT (50.807726 5.674801)
lfreceivers.5,81,VR2W-112290,Albertkanaal,ak-21,50.888339,5.57446,POINT (50.888339 5.57446)
lfreceivers.6,82,VR2W-112288,Albertkanaal,ak-22,50.9356423,5.4970086,POINT (50.9356423 5.4970086)
lfreceivers.7,2,VR2W-122340,Albertkanaal,ak-23,50.9357743,5.487716,POINT (50.9357743 5.487716)
lfreceivers.8,52,VR2W-124060,Albertkanaal,ak-24,50.9380396,5.4373164,POINT (50.9380396 5.4373164)
lfreceivers.9,3,VR2W-122353,Albertkanaal,ak-25,50.9385133,5.4270421,POINT (50.9385133 5.4270421)
lfreceivers.10,22,VR2W-122334,Albertkanaal,ak-26,50.9406125,5.3743823,POINT (50.9406125 5.3743823)
lfreceivers.11,53,VR2W-122330,Albertkanaal,ak-27,50.9406792,5.3643243,POINT (50.9406792 5.3643243)
lfreceivers.12,49,VR2W-122326,Albertkanaal,ak-28,51.096684,5.108784,POINT (51.096684 5.108784)
lfreceivers.13,19,VR2W-122354,Albertkanaal,ak-29,51.096888,5.1133155,POINT (51.096888 5.1133155)
lfreceivers.14,27,VR2W-122328,Albertkanaal,ak-3,50.62285,5.580676,POINT (50.62285 5.580676)
lfreceivers.15,21,VR2W-122331,Albertkanaal,ak-30,51.097208,5.109596,POINT (51.097208 5.109596)
lfreceivers.16,4,VR2W-122319,Albertkanaal,ak-31,51.097875,5.108846,POINT (51.097875 5.108846)
lfreceivers.17,35,VR2W-122321,Albertkanaal,ak-32,51.098211,5.108959,POINT (51.098211 5.108959)
lfreceivers.18,36,VR2W-122360,Albertkanaal,ak-33,51.0985513,5.1029468,POINT (51.0985513 5.1029468)
lfreceivers.19,86,VR2W-127030,Albertkanaal,ak-34,51.1282853,5.1413858,POINT (51.1282853 5.1413858)
lfreceivers.20,28,VR2W-122349,Albertkanaal,ak-35,51.1576335,4.8653041,POINT (51.1576335 4.8653041)
lfreceivers.21,77,VR2W-115436,Albertkanaal,ak-36,51.159335,4.85635,POINT (51.159335 4.85635)
lfreceivers.22,23,VR2W-113525,Albertkanaal,ak-38,51.168795,4.835036,POINT (51.168795 4.835036)
lfreceivers.23,25,VR2W-122358,Albertkanaal,ak-39,51.2248728,4.544249,POINT (51.2248728 4.544249)
lfreceivers.24,50,VR2W-122351,Albertkanaal,ak-40,51.2281277,4.5332846,POINT (51.2281277 4.5332846)
lfreceivers.25,10,VR2W-126195,Albertkanaal,ak-41,51.239128,4.397469,POINT (51.239128 4.397469)
lfreceivers.26,99,VR2W-126194,Albertkanaal,ak-42,51.242076,4.403539,POINT (51.242076 4.403539)
lfreceivers.27,37,VR2W-113523,Albertkanaal,ak-43,51.249274,4.506109,POINT (51.249274 4.506109)
lfreceivers.28,93,VR2W-126196,Albertkanaal,ak-44,51.273737,4.332208,POINT (51.273737 4.332208)
lfreceivers.29,95,VR2W-126197,Albertkanaal,ak-45,51.280982,4.329702,POINT (51.280982 4.329702)
lfreceivers.30,1,VR2W-126199,Albertkanaal,ak-47,51.345793,4.278738,POINT (51.345793 4.278738)
lfreceivers.31,100,VR2W-126200,Albertkanaal,ak-48,51.367743,4.3015,POINT (51.367743 4.3015)
lfreceivers.32,80,VR2W-115439,Albertkanaal,HH1,50.941845,5.334551,POINT (50.941845 5.334551)
lfreceivers.33,30,VR2W-122333,Albertkanaal,HH10,51.154979,5.147086,POINT (51.154979 5.147086)
lfreceivers.34,34,VR2W-122359,Albertkanaal,HH11,51.194393,5.155753,POINT (51.194393 5.155753)
lfreceivers.35,44,VR2W-127722,Albertkanaal,HH2,50.965597,5.287241,POINT (50.965597 5.287241)
lfreceivers.36,89,VR2W-127726,Albertkanaal,HH3,50.973296,5.270083,POINT (50.973296 5.270083)
lfreceivers.37,105,VR2W-127721,Albertkanaal,HH4,50.99323,5.245137,POINT (50.99323 5.245137)
lfreceivers.38,88,VR2W-127724,Albertkanaal,HH5,51.016368,5.233414,POINT (51.016368 5.233414)
lfreceivers.39,26,VR2W-115443,Albertkanaal,HH6,51.041797,5.21874,POINT (51.041797 5.21874)
lfreceivers.40,101,VR2W-112285,Albertkanaal,HH7,51.055307,5.208966,POINT (51.055307 5.208966)
lfreceivers.41,91,VR2W-127720,Albertkanaal,HH9,51.092742,5.137916,POINT (51.092742 5.137916)
lfreceivers.42,72,VR2W-127023,Albertkanaal,S07,51.096973,5.110242,POINT (51.096973 5.110242)
lfreceivers.43,83,VR2W-127025,Albertkanaal,S08,51.097872,5.109724,POINT (51.097872 5.109724)
lfreceivers.44,90,VR2Tx-480876,Albertkanaal,S09-2,51.097162,5.11063,POINT (51.097162 5.11063)
lfreceivers.45,74,VR2W-127027,Albertkanaal,S10,51.097225,5.110328,POINT (51.097225 5.110328)
lfreceivers.46,104,VR2W-127032,Albertkanaal,S12,51.096669,5.111477,POINT (51.096669 5.111477)
lfreceivers.47,73,VR2W-127024,Albertkanaal,S13,51.097103,5.111644,POINT (51.097103 5.111644)
lfreceivers.48,102,VR2W-127029,Albertkanaal,S14,51.098103,5.110244,POINT (51.098103 5.110244)
lfreceivers.49,87,VR2W-127033,Albertkanaal,S15,51.09763,5.108964,POINT (51.09763 5.108964)
lfreceivers.50,103,VR2W-127031,Albertkanaal,S16,51.097907,5.109191,POINT (51.097907 5.109191)
lfreceivers.51,76,VR2W-127022,Albertkanaal,S17,51.098163,5.109424,POINT (51.098163 5.109424)
lfreceivers.52,79,VR2W-127028,Albertkanaal,S18,51.097433,5.109707,POINT (51.097433 5.109707)
lfreceivers.53,54,VR2W-113529,Albertkanaal,zandvlietsluis haven B,51.34458,4.30243,POINT (51.34458 4.30243)
lfreceivers.54,42,VR2W-123828,BPNS,bpns-A1BIS,51.361333,2.967,POINT (51.361333 2.967)
lfreceivers.55,6,VR2Tx-481063,BPNS,bpns-BIRKENFELS,51.649333,2.53383333,POINT (51.649333 2.533833333)
lfreceivers.56,128,VR2W-133323,BPNS,bpns-boudewijn,51.308913,3.2029422,POINT (51.308913 3.2029422)
lfreceivers.57,65,VR2W-129572,BPNS,bpns-buitenratel,51.1937,2.4653,POINT (51.1937 2.4653)
lfreceivers.58,114,VR2W-112294,BPNS,bpns-D1,51.2325,2.64316667,POINT (51.2325 2.643166667)
lfreceivers.59,12,VR2W-127739,BPNS,bpns-GARDENCITY,51.485333,2.29866667,POINT (51.485333 2.298666667)
lfreceivers.60,116,VR2W-129563,BPNS,bpns-KB2,51.350667,2.70366667,POINT (51.350667 2.703666667)
lfreceivers.61,46,VR2C-450113,BPNS,bpns-LottoBuoy,51.5666667,2.983333,POINT (51.5666667 2.983333)
lfreceivers.62,59,VR2W-129569,BPNS,bpns-middelkerkebank,51.3033,2.7125,POINT (51.3033 2.7125)
lfreceivers.63,98,VR2W-131000,BPNS,bpns-OH6,51.239667,2.9215,POINT (51.239667 2.9215)
lfreceivers.64,63,VR2W-129570,BPNS,bpns-OOSTDYCK,51.356333,2.51866667,POINT (51.356333 2.518666667)
lfreceivers.65,41,VR2W-127729,BPNS,bpns-RYCO,51.2247,2.9408,POINT (51.2247 2.9408)
lfreceivers.66,118,VR2W-131001,BPNS,bpns-Trapegeer,51.14033333,2.573,POINT (51.14033333 2.573)
lfreceivers.67,7,VR2W-110778,BPNS,bpns-vandamme,51.329852,3.2177857,POINT (51.329852 3.2177857)
lfreceivers.68,38,VR2W-110779,BPNS,bpns-VG2,51.4325,2.802,POINT (51.4325 2.802)
lfreceivers.69,61,VR2W-114312,BPNS,bpns-W1,51.391333,3.30366667,POINT (51.391333 3.303666667)
lfreceivers.70,60,VR2W-123827,BPNS,bpns-WENDUINEBANKW,51.287167,2.87916667,POINT (51.287167 2.879166667)
lfreceivers.71,64,VR2W-129571,BPNS,bpns-Whitley,51.15116667,2.66033333,POINT (51.15116667 2.660333333)
lfreceivers.72,62,VR2W-123823,BPNS,bpns-WK14,51.3685,3.262,POINT (51.3685 3.262)
lfreceivers.73,39,VR2W-114258,BPNS,bpns-WZ,51.376167,3.17866667,POINT (51.376167 3.178666667)
lfreceivers.74,146,VR2W-133321,BPNS,bpns-ZAND4,51.359,3.20318,POINT (51.359 3.20318)
lfreceivers.75,40,VR2W-127715,BPNS,bpns-ZOKN,51.35718,3.19037,POINT (51.35718 3.19037)
lfreceivers.76,,,BPNS,bpns-Noordede,51.2232,2.9455,POINT (51.2232 2.9455)
lfreceivers.77,152,VR2AR-547696,cpodnetwork,bpns-Belwindreefballs-CPOD,51.70442,2.812594,POINT (51.70442 2.812594)
lfreceivers.78,149,VR2AR-547695,cpodnetwork,bpns-Buitenratel,51.24533,2.505306,POINT (51.24533 2.505306)
lfreceivers.79,151,VR2AR-547694,cpodnetwork,bpns-Cpowerreefballs-CPOD,51.58,2.99549,POINT (51.58 2.99549)
lfreceivers.80,148,VR2AR-547691,cpodnetwork,bpns-Gardencity,51.48725,2.308917,POINT (51.48725 2.308917)
lfreceivers.81,162,VR2AR-547692,cpodnetwork,bpns-HMS Grafton,51.41169,2.819083,POINT (51.41169 2.819083)
lfreceivers.82,147,VR2AR-547698,cpodnetwork,bpns-Nautica Ena,51.30056,2.869061,POINT (51.30056 2.869061)
