Number,Catch_length,Catch_weight,Catch_date,Catch_location,Recaptures,Recapture_weight,Catch_method,Recapture_location,specificity grade,Recapture_lon,Recapture_lat,Recapture_date,Recapture_length,Recapture_method,Tag,Remark,Catch_lon,Catch_lat
1,23,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
2,20,NA,29/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
3,31.5,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
4,26,NA,29/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
5,20.5,NA,18/06/2006,Zeebrugge_Westdam,"terug te Frankrijk op 05/11/2007, ongeveer 36cm",479,line_fishing,France,1,2.19,51.03,5/11/2007,36,NA,,,3.1833,51.3617
6,30,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
7,32.5,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
8,31,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
10,22.5,NA,1/07/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
11,31,NA,18/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
12,19,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
13,26,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
14,30,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
15,24.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
16,28.5,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
17,20,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
18,34,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
19,19.5,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
20,20.5,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
21,32.5,NA,18/05/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
22,35,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
23,30,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
24,26,NA,29/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
25,20.5,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
26,18.5,NA,1/07/2006,Zeebrugge_Westdam,"terug te zeebrugge op 16/07/2006, kruisnet/warrelnet",NA,line_fishing,Zeebrugge,2,3.2,51.35,16/07/2006,NA,tangle net,,,3.1833,51.3617
27,31.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
28,34.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
29,33,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
30,36.5,NA,14/05/2006,Zeebrugge_Westdam,"terug te zeebrugge op 06/08/2006, hengel/hengel",NA,line_fishing,Zeebrugge,2,3.2,51.35,6/08/2006,NA,hook and line,,,3.1833,51.3617
31,21,NA,29/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
32,20.5,NA,1/07/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
33,31,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
34,29,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
35,32,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
36,32.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
37,28,NA,18/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
38,31.5,NA,18/08/2006,Zeebrugge_Westdam,"terug te zeebrugge op 17/08/2007, hengel(36,5cm)",NA,line_fishing,Zeebrugge,2,3.2,51.35,17/08/2007,36.5,hook and line,,,3.1833,51.3617
39,15.5,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
40,25,NA,18/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
41,30,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
42,28.5,NA,24/06/2006,Zeebrugge_Westdam,"terug te zeebrugge op 18/08/2206, kruisnet/kruisnet",NA,line_fishing,Zeebrugge,2,3.2,51.35,18/08/2006,NA,tangle net,,,3.1833,51.3617
43,30,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
44,31,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
45,31,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
46,31.5,NA,15/08/2006,Zeebrugge_Westdam,"terug te zeebrugge op 16/09/2007, hengel(37cm)",NA,line_fishing,Zeebrugge,2,3.2,51.35,16/09/2007,37,hook and line,,,3.1833,51.3617
47,26,NA,18/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
48,36.5,NA,24/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
49,35,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
50,26,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
51,31.5,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
52,31.5,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
53,32,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
54,35.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
55,20,NA,29/06/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
56,29.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
57,32,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
58,26,NA,27/03/2006,Oostende_Spuikom,,,line_fishing,,,,,,,,,,2.95,51.23
59,24,NA,5/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
60,29,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
61,27.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
62,27.5,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
63,28.5,NA,15/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
64,23.5,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
65,32,NA,18/08/2006,Zeebrugge_Westdam,,,line_fishing,,,,,,,,,,3.1833,51.3617
